customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered
1334,other,18-25,west,travel,online,amazon,2,product stopped working after few days.,negative,4,yes,yes
1348,other,36-45,central,groceries,online,amazon,2,product stopped working after few days.,negative,16,yes,yes
1352,female,18-25,east,beauty,online,amazon,1,very disappointed with the quality.,negative,52,no,yes
1359,male,60+,central,home & kitchen,online,amazon,3,works fine but could be better.,neutral,23,yes,no
1368,female,18-25,east,beauty,online,amazon,1,late delivery and poor packaging.,negative,34,yes,yes
1373,female,46-60,south,groceries,online,amazon,5,excellent product! exceeded expectations.,positive,14,yes,no
1427,other,46-60,central,electronics,online,amazon,1,customer service was unhelpful.,negative,29,yes,yes
1432,male,18-25,south,sports,online,amazon,3,average experience overall.,neutral,69,no,no
1452,male,26-35,north,fashion,online,amazon,2,late delivery and poor packaging.,negative,9,yes,yes
1501,female,26-35,west,home & kitchen,online,amazon,2,not worth the price.,negative,62,no,yes
1507,other,18-25,south,groceries,online,amazon,1,not worth the price.,negative,21,yes,yes
1515,male,36-45,west,home & kitchen,online,amazon,2,not worth the price.,negative,47,yes,yes
1533,other,60+,central,books,online,amazon,3,works fine but could be better.,neutral,24,yes,no
1543,male,36-45,central,fashion,online,amazon,2,not worth the price.,negative,71,no,yes
1570,other,60+,west,sports,online,amazon,4,very satisfied with the quality.,positive,1,yes,no
1600,other,46-60,south,beauty,online,amazon,3,works fine but could be better.,neutral,24,yes,no
1603,other,36-45,north,travel,online,amazon,2,not worth the price.,negative,9,yes,yes
1606,other,60+,central,sports,online,amazon,5,very satisfied with the quality.,positive,50,no,no
1615,male,60+,central,automobile,online,amazon,3,works fine but could be better.,neutral,58,no,no
1636,female,26-35,west,beauty,online,amazon,1,very disappointed with the quality.,negative,60,no,yes
1666,female,36-45,south,beauty,online,amazon,5,great value for money.,positive,63,no,no
1688,female,18-25,south,beauty,online,amazon,2,not worth the price.,negative,22,yes,yes
1706,other,46-60,west,electronics,online,amazon,1,customer service was unhelpful.,negative,33,yes,yes
1732,other,26-35,central,beauty,online,amazon,1,late delivery and poor packaging.,negative,20,yes,yes
1783,male,18-25,north,travel,online,amazon,5,fast delivery and great packaging.,positive,10,yes,no
1786,male,46-60,central,groceries,online,amazon,1,late delivery and poor packaging.,negative,27,yes,yes
1789,female,18-25,north,home & kitchen,online,amazon,3,neutral about the quality.,neutral,34,yes,no
1822,other,60+,west,groceries,online,amazon,2,not worth the price.,negative,7,yes,yes
1845,other,18-25,central,travel,online,amazon,2,not worth the price.,negative,34,yes,yes
1855,male,18-25,central,automobile,online,amazon,1,customer service was unhelpful.,negative,35,yes,yes
1864,female,36-45,north,home & kitchen,online,amazon,5,fast delivery and great packaging.,positive,11,yes,no
1909,male,26-35,west,sports,online,amazon,3,"product is okay, nothing special.",neutral,53,no,no
1975,female,60+,west,sports,online,amazon,4,"amazing experience, highly recommend!",positive,4,yes,no
1996,male,36-45,north,groceries,online,amazon,3,works fine but could be better.,neutral,68,no,no
2013,male,18-25,west,automobile,online,amazon,1,customer service was unhelpful.,negative,30,yes,yes
2025,male,26-35,north,automobile,online,amazon,4,fast delivery and great packaging.,positive,14,yes,no
2031,female,18-25,west,electronics,online,amazon,5,excellent product! exceeded expectations.,positive,47,yes,no
2040,female,36-45,north,electronics,online,amazon,1,very disappointed with the quality.,negative,1,yes,yes
2139,female,60+,south,beauty,online,amazon,1,late delivery and poor packaging.,negative,16,yes,yes
2151,male,60+,south,books,online,amazon,3,"delivery was fine, product is decent.",neutral,48,no,no
2156,female,60+,south,books,online,amazon,4,great value for money.,positive,56,no,no
2158,female,60+,east,sports,online,amazon,1,very disappointed with the quality.,negative,38,yes,yes
2162,male,26-35,south,groceries,online,amazon,5,great value for money.,positive,5,yes,no
2169,other,46-60,north,fashion,online,amazon,3,neutral about the quality.,neutral,61,no,no
2170,other,36-45,central,books,online,amazon,4,very satisfied with the quality.,positive,36,yes,no
2189,female,36-45,south,beauty,online,amazon,2,not worth the price.,negative,65,no,yes
2212,other,46-60,central,groceries,online,amazon,5,"amazing experience, highly recommend!",positive,34,yes,no
2221,other,60+,central,home & kitchen,online,amazon,4,very satisfied with the quality.,positive,11,yes,no
2245,other,60+,north,groceries,online,amazon,1,customer service was unhelpful.,negative,2,yes,yes
2248,male,60+,east,travel,online,amazon,1,product stopped working after few days.,negative,34,yes,yes
2259,male,36-45,central,sports,online,amazon,1,customer service was unhelpful.,negative,38,yes,yes
2271,male,36-45,north,automobile,online,amazon,4,excellent product! exceeded expectations.,positive,10,yes,no
2297,male,60+,south,books,online,amazon,2,product stopped working after few days.,negative,11,yes,yes
2344,other,60+,west,automobile,online,amazon,5,excellent product! exceeded expectations.,positive,50,no,no
2353,other,46-60,north,electronics,online,amazon,2,customer service was unhelpful.,negative,5,yes,yes
2377,other,26-35,east,beauty,online,amazon,4,great value for money.,positive,68,no,no
2402,female,60+,central,sports,online,amazon,1,customer service was unhelpful.,negative,53,no,yes
2412,male,46-60,south,electronics,online,amazon,3,"product is okay, nothing special.",neutral,55,no,no
2420,female,18-25,west,beauty,online,amazon,5,"amazing experience, highly recommend!",positive,60,no,no
2467,male,46-60,south,sports,online,amazon,3,works fine but could be better.,neutral,52,no,no
2482,other,36-45,east,sports,online,amazon,2,late delivery and poor packaging.,negative,59,no,yes
2494,female,60+,south,travel,online,amazon,1,customer service was unhelpful.,negative,16,yes,yes
2519,male,18-25,south,automobile,online,amazon,2,very disappointed with the quality.,negative,31,yes,yes
2571,other,36-45,east,groceries,online,amazon,1,very disappointed with the quality.,negative,26,yes,yes
2574,female,36-45,east,electronics,online,amazon,5,"amazing experience, highly recommend!",positive,59,no,no
2597,female,46-60,central,travel,online,amazon,3,works fine but could be better.,neutral,15,yes,no
2642,female,60+,central,automobile,online,amazon,2,not worth the price.,negative,18,yes,yes
2663,male,60+,north,automobile,online,amazon,4,"amazing experience, highly recommend!",positive,2,yes,no
2666,female,36-45,east,books,online,amazon,5,fast delivery and great packaging.,positive,7,yes,no
2668,other,60+,central,sports,online,amazon,3,works fine but could be better.,neutral,41,yes,no
2685,female,18-25,north,fashion,online,amazon,3,average experience overall.,neutral,15,yes,no
2691,other,26-35,east,travel,online,amazon,2,customer service was unhelpful.,negative,15,yes,yes
2719,female,26-35,south,fashion,online,amazon,2,very disappointed with the quality.,negative,53,no,yes
2729,female,18-25,south,fashion,online,amazon,2,very disappointed with the quality.,negative,25,yes,yes
2743,female,26-35,south,sports,online,amazon,3,"product is okay, nothing special.",neutral,58,no,no
2748,other,60+,central,electronics,online,amazon,3,neutral about the quality.,neutral,66,no,no
2756,other,26-35,west,books,online,amazon,4,fast delivery and great packaging.,positive,50,no,no
2779,female,60+,south,sports,online,amazon,3,"product is okay, nothing special.",neutral,26,yes,no
2787,male,46-60,south,home & kitchen,online,amazon,3,neutral about the quality.,neutral,64,no,no
2792,male,46-60,east,home & kitchen,online,amazon,2,product stopped working after few days.,negative,3,yes,yes
2833,male,46-60,central,groceries,online,amazon,3,works fine but could be better.,neutral,19,yes,no
2866,male,36-45,south,electronics,online,amazon,1,product stopped working after few days.,negative,20,yes,yes
2931,male,36-45,east,books,online,amazon,4,fast delivery and great packaging.,positive,9,yes,no
2943,other,18-25,west,groceries,online,amazon,1,product stopped working after few days.,negative,69,no,yes
2955,male,36-45,east,sports,online,amazon,5,excellent product! exceeded expectations.,positive,7,yes,no
2957,male,46-60,south,fashion,online,amazon,4,very satisfied with the quality.,positive,71,no,no
2991,female,46-60,east,fashion,online,amazon,4,great value for money.,positive,68,no,no
2994,other,26-35,central,automobile,online,amazon,5,fast delivery and great packaging.,positive,41,yes,no
3000,female,36-45,east,beauty,online,amazon,4,very satisfied with the quality.,positive,9,yes,no
3008,female,26-35,north,travel,online,amazon,5,excellent product! exceeded expectations.,positive,45,yes,no
3009,female,26-35,central,electronics,online,amazon,1,very disappointed with the quality.,negative,52,no,yes
3015,female,46-60,central,travel,online,amazon,5,fast delivery and great packaging.,positive,36,yes,no
3042,male,46-60,west,automobile,online,amazon,4,great value for money.,positive,43,yes,no
3060,male,46-60,south,travel,online,amazon,5,"amazing experience, highly recommend!",positive,50,no,no
3068,other,36-45,south,groceries,online,amazon,3,"product is okay, nothing special.",neutral,27,yes,no
3071,female,46-60,south,sports,online,amazon,1,not worth the price.,negative,19,yes,yes
3078,other,60+,east,electronics,online,amazon,2,late delivery and poor packaging.,negative,9,yes,yes
3121,female,26-35,south,sports,online,amazon,3,works fine but could be better.,neutral,6,yes,no
3180,male,18-25,central,fashion,online,amazon,2,late delivery and poor packaging.,negative,1,yes,yes
3207,other,36-45,east,books,online,amazon,1,very disappointed with the quality.,negative,4,yes,yes
3261,female,26-35,west,sports,online,amazon,4,very satisfied with the quality.,positive,65,no,no
3323,other,36-45,central,sports,online,amazon,2,not worth the price.,negative,22,yes,yes
3344,female,26-35,east,home & kitchen,online,amazon,2,customer service was unhelpful.,negative,21,yes,yes
3367,female,60+,east,fashion,online,amazon,4,fast delivery and great packaging.,positive,67,no,no
3414,male,46-60,east,electronics,online,amazon,2,customer service was unhelpful.,negative,15,yes,yes
3440,other,18-25,central,home & kitchen,online,amazon,4,fast delivery and great packaging.,positive,25,yes,no
3450,female,36-45,south,travel,online,amazon,5,very satisfied with the quality.,positive,18,yes,no
3512,female,60+,central,books,online,amazon,5,"amazing experience, highly recommend!",positive,34,yes,no
3536,male,60+,east,travel,online,amazon,1,customer service was unhelpful.,negative,44,yes,yes
3553,other,60+,west,home & kitchen,online,amazon,1,not worth the price.,negative,33,yes,yes
3575,other,26-35,south,travel,online,amazon,1,customer service was unhelpful.,negative,41,yes,yes
3590,other,36-45,south,books,online,amazon,3,"product is okay, nothing special.",neutral,38,yes,no
3629,other,60+,north,sports,online,amazon,2,very disappointed with the quality.,negative,55,no,yes
3650,other,36-45,west,books,online,amazon,5,fast delivery and great packaging.,positive,63,no,no
3665,female,60+,east,home & kitchen,online,amazon,3,"product is okay, nothing special.",neutral,30,yes,no
3669,female,60+,south,travel,online,amazon,3,neutral about the quality.,neutral,52,no,no
3710,other,60+,north,fashion,online,amazon,5,"amazing experience, highly recommend!",positive,25,yes,no
3717,female,18-25,east,electronics,online,amazon,1,product stopped working after few days.,negative,60,no,yes
3786,female,36-45,south,fashion,online,amazon,2,late delivery and poor packaging.,negative,3,yes,yes
3869,male,36-45,east,sports,online,amazon,3,average experience overall.,neutral,70,no,no
3885,male,18-25,east,travel,online,amazon,2,late delivery and poor packaging.,negative,57,no,yes
3893,female,46-60,central,groceries,online,amazon,4,excellent product! exceeded expectations.,positive,4,yes,no
3903,female,18-25,central,sports,online,amazon,1,very disappointed with the quality.,negative,5,yes,yes
3919,male,26-35,north,fashion,online,amazon,1,not worth the price.,negative,63,no,yes
3920,female,26-35,central,beauty,online,amazon,4,great value for money.,positive,52,no,no
3923,female,46-60,east,automobile,online,amazon,5,fast delivery and great packaging.,positive,52,no,no
3932,male,46-60,south,sports,online,amazon,3,average experience overall.,neutral,38,yes,no
3941,female,26-35,west,automobile,online,amazon,3,"delivery was fine, product is decent.",neutral,43,yes,no
3943,other,60+,west,sports,online,amazon,5,"amazing experience, highly recommend!",positive,61,no,no
3964,female,46-60,south,travel,online,amazon,5,great value for money.,positive,68,no,no
3970,female,36-45,central,groceries,online,amazon,4,very satisfied with the quality.,positive,8,yes,no
3994,male,60+,west,beauty,online,amazon,1,not worth the price.,negative,8,yes,yes
4006,other,36-45,south,home & kitchen,online,amazon,2,not worth the price.,negative,62,no,yes
4009,male,18-25,central,fashion,online,amazon,5,"amazing experience, highly recommend!",positive,9,yes,no
4054,other,60+,west,travel,online,amazon,2,not worth the price.,negative,36,yes,yes
4061,male,18-25,central,books,online,amazon,5,great value for money.,positive,27,yes,no
4071,male,18-25,east,groceries,online,amazon,2,product stopped working after few days.,negative,8,yes,yes
4082,male,46-60,central,books,online,amazon,2,customer service was unhelpful.,negative,63,no,yes
4097,female,26-35,north,travel,online,amazon,3,works fine but could be better.,neutral,36,yes,no
4099,other,36-45,west,books,online,amazon,2,not worth the price.,negative,18,yes,yes
4103,male,46-60,east,beauty,online,amazon,1,product stopped working after few days.,negative,33,yes,yes
4125,other,46-60,central,home & kitchen,online,amazon,3,"delivery was fine, product is decent.",neutral,27,yes,no
4127,male,18-25,south,books,online,amazon,5,"amazing experience, highly recommend!",positive,35,yes,no
4242,male,46-60,south,electronics,online,amazon,2,product stopped working after few days.,negative,29,yes,yes
4243,other,60+,north,groceries,online,amazon,5,"amazing experience, highly recommend!",positive,31,yes,no
4258,male,46-60,central,electronics,online,amazon,2,not worth the price.,negative,16,yes,yes
4263,male,60+,east,electronics,online,amazon,1,not worth the price.,negative,4,yes,yes
4278,other,26-35,north,electronics,online,amazon,4,excellent product! exceeded expectations.,positive,32,yes,no
4284,female,46-60,north,automobile,online,amazon,3,average experience overall.,neutral,30,yes,no
4303,male,46-60,west,automobile,online,amazon,4,fast delivery and great packaging.,positive,43,yes,no
4331,male,46-60,west,travel,online,amazon,1,not worth the price.,negative,42,yes,yes
4369,other,36-45,north,travel,online,amazon,2,customer service was unhelpful.,negative,2,yes,yes
4385,female,46-60,west,automobile,online,amazon,4,excellent product! exceeded expectations.,positive,48,no,no
4422,other,18-25,south,travel,online,amazon,1,not worth the price.,negative,34,yes,yes
4480,female,46-60,south,travel,online,amazon,3,"product is okay, nothing special.",neutral,50,no,no
4482,male,46-60,east,beauty,online,amazon,1,not worth the price.,negative,32,yes,yes
4490,female,60+,south,electronics,online,amazon,4,excellent product! exceeded expectations.,positive,44,yes,no
4580,male,36-45,north,beauty,online,amazon,2,customer service was unhelpful.,negative,20,yes,yes
4591,other,46-60,south,fashion,online,amazon,2,late delivery and poor packaging.,negative,59,no,yes
4604,other,46-60,west,electronics,online,amazon,1,not worth the price.,negative,28,yes,yes
4652,other,46-60,east,sports,online,amazon,3,neutral about the quality.,neutral,48,no,no
4655,male,18-25,west,fashion,online,amazon,1,not worth the price.,negative,9,yes,yes
4661,other,60+,south,electronics,online,amazon,3,neutral about the quality.,neutral,19,yes,no
4669,other,36-45,east,electronics,online,amazon,2,customer service was unhelpful.,negative,61,no,yes
4681,male,26-35,south,books,online,amazon,3,works fine but could be better.,neutral,51,no,no
4728,other,18-25,central,sports,online,amazon,5,"amazing experience, highly recommend!",positive,5,yes,no
4739,female,26-35,west,sports,online,amazon,2,product stopped working after few days.,negative,24,yes,yes
4779,male,36-45,south,sports,online,amazon,2,late delivery and poor packaging.,negative,23,yes,yes
4780,male,36-45,north,fashion,online,amazon,2,product stopped working after few days.,negative,3,yes,yes
4787,female,26-35,north,electronics,online,amazon,2,late delivery and poor packaging.,negative,3,yes,yes
4788,male,60+,central,automobile,online,amazon,4,very satisfied with the quality.,positive,12,yes,no
4789,male,60+,east,automobile,online,amazon,1,very disappointed with the quality.,negative,6,yes,yes
4793,other,26-35,south,beauty,online,amazon,4,"amazing experience, highly recommend!",positive,47,yes,no
4809,female,60+,east,automobile,online,amazon,1,very disappointed with the quality.,negative,28,yes,yes
4813,female,46-60,north,books,online,amazon,2,product stopped working after few days.,negative,69,no,yes
4814,female,46-60,south,fashion,online,amazon,2,very disappointed with the quality.,negative,69,no,yes
4823,other,36-45,central,home & kitchen,online,amazon,2,late delivery and poor packaging.,negative,54,no,yes
4840,other,36-45,north,automobile,online,amazon,5,fast delivery and great packaging.,positive,64,no,no
4850,other,18-25,south,books,online,amazon,1,very disappointed with the quality.,negative,63,no,yes
4866,female,60+,east,groceries,online,amazon,5,excellent product! exceeded expectations.,positive,45,yes,no
4867,female,36-45,east,fashion,online,amazon,2,customer service was unhelpful.,negative,1,yes,yes
4869,other,46-60,south,home & kitchen,online,amazon,3,neutral about the quality.,neutral,51,no,no
4924,other,18-25,north,beauty,online,amazon,4,fast delivery and great packaging.,positive,9,yes,no
4927,female,36-45,south,sports,online,amazon,4,excellent product! exceeded expectations.,positive,67,no,no
4961,female,26-35,west,groceries,online,amazon,4,excellent product! exceeded expectations.,positive,20,yes,no
4984,female,18-25,south,travel,online,amazon,2,product stopped working after few days.,negative,14,yes,yes
5000,female,60+,east,fashion,online,amazon,5,excellent product! exceeded expectations.,positive,14,yes,no
5041,female,60+,central,sports,online,amazon,3,average experience overall.,neutral,37,yes,no
5084,female,60+,south,groceries,online,amazon,5,"amazing experience, highly recommend!",positive,18,yes,no
5093,male,36-45,east,beauty,online,amazon,5,fast delivery and great packaging.,positive,13,yes,no
5097,female,26-35,south,fashion,online,amazon,4,great value for money.,positive,13,yes,no
5100,male,60+,west,home & kitchen,online,amazon,2,not worth the price.,negative,14,yes,yes
5101,female,36-45,north,books,online,amazon,3,neutral about the quality.,neutral,42,yes,no
5145,female,60+,west,groceries,online,amazon,1,customer service was unhelpful.,negative,21,yes,yes
5153,male,18-25,east,groceries,online,amazon,4,fast delivery and great packaging.,positive,6,yes,no
5162,male,26-35,central,automobile,online,amazon,5,excellent product! exceeded expectations.,positive,36,yes,no
5184,other,46-60,west,beauty,online,amazon,4,very satisfied with the quality.,positive,43,yes,no
5205,female,36-45,north,sports,online,amazon,3,neutral about the quality.,neutral,69,no,no
5273,male,46-60,east,books,online,amazon,4,very satisfied with the quality.,positive,26,yes,no
5287,male,26-35,east,books,online,amazon,2,very disappointed with the quality.,negative,1,yes,yes
5323,other,60+,central,groceries,online,amazon,5,excellent product! exceeded expectations.,positive,57,no,no
5350,female,18-25,north,automobile,online,amazon,3,"product is okay, nothing special.",neutral,32,yes,no
5362,other,36-45,north,travel,online,amazon,3,average experience overall.,neutral,2,yes,no
5378,male,26-35,central,electronics,online,amazon,4,great value for money.,positive,19,yes,no
5398,female,18-25,central,sports,online,amazon,1,product stopped working after few days.,negative,51,no,yes
5417,female,36-45,west,home & kitchen,online,amazon,3,works fine but could be better.,neutral,8,yes,no
5423,male,26-35,central,travel,online,amazon,4,fast delivery and great packaging.,positive,34,yes,no
5434,female,36-45,central,beauty,online,amazon,5,great value for money.,positive,11,yes,no
5507,male,60+,south,fashion,online,amazon,4,great value for money.,positive,71,no,no
5520,female,18-25,central,beauty,online,amazon,5,"amazing experience, highly recommend!",positive,39,yes,no
5536,other,18-25,east,books,online,amazon,3,works fine but could be better.,neutral,68,no,no
5542,male,26-35,east,beauty,online,amazon,4,excellent product! exceeded expectations.,positive,29,yes,no
5553,female,26-35,east,electronics,online,amazon,3,"delivery was fine, product is decent.",neutral,71,no,no
5602,other,18-25,south,books,online,amazon,5,excellent product! exceeded expectations.,positive,70,no,no
5611,male,46-60,south,books,online,amazon,1,not worth the price.,negative,4,yes,yes
5622,male,36-45,west,automobile,online,amazon,3,average experience overall.,neutral,20,yes,no
5660,other,26-35,central,home & kitchen,online,amazon,4,"amazing experience, highly recommend!",positive,8,yes,no
5678,female,60+,south,beauty,online,amazon,1,customer service was unhelpful.,negative,26,yes,yes
5696,male,36-45,west,automobile,online,amazon,1,very disappointed with the quality.,negative,46,yes,yes
5707,female,18-25,east,automobile,online,amazon,5,fast delivery and great packaging.,positive,49,no,no
5709,female,18-25,east,automobile,online,amazon,3,neutral about the quality.,neutral,40,yes,no
5791,other,26-35,central,books,online,amazon,1,customer service was unhelpful.,negative,17,yes,yes
5800,female,26-35,north,automobile,online,amazon,3,"delivery was fine, product is decent.",neutral,26,yes,no
5807,female,36-45,east,travel,online,amazon,5,excellent product! exceeded expectations.,positive,9,yes,no
5854,other,60+,north,fashion,online,amazon,1,very disappointed with the quality.,negative,59,no,yes
5859,female,18-25,south,books,online,amazon,1,late delivery and poor packaging.,negative,28,yes,yes
5881,male,60+,west,beauty,online,amazon,4,fast delivery and great packaging.,positive,24,yes,no
5883,other,60+,east,travel,online,amazon,1,late delivery and poor packaging.,negative,44,yes,yes
5893,male,36-45,north,sports,online,amazon,5,great value for money.,positive,61,no,no
5946,male,46-60,central,electronics,online,amazon,2,late delivery and poor packaging.,negative,9,yes,yes
5962,female,18-25,north,sports,online,amazon,4,"amazing experience, highly recommend!",positive,61,no,no
5972,male,60+,central,groceries,online,amazon,5,excellent product! exceeded expectations.,positive,10,yes,no
5999,other,46-60,south,groceries,online,amazon,5,excellent product! exceeded expectations.,positive,66,no,no
6034,other,36-45,east,fashion,online,amazon,1,customer service was unhelpful.,negative,52,no,yes
6050,male,46-60,south,groceries,online,amazon,5,very satisfied with the quality.,positive,2,yes,no
6152,other,26-35,south,electronics,online,amazon,4,fast delivery and great packaging.,positive,41,yes,no
6161,male,60+,north,electronics,online,amazon,1,not worth the price.,negative,24,yes,yes
6184,other,18-25,west,travel,online,amazon,5,"amazing experience, highly recommend!",positive,59,no,no
6185,male,46-60,south,fashion,online,amazon,4,"amazing experience, highly recommend!",positive,48,no,no
6188,other,36-45,east,groceries,online,amazon,3,"delivery was fine, product is decent.",neutral,24,yes,no
6229,male,60+,south,fashion,online,amazon,1,very disappointed with the quality.,negative,12,yes,yes
6333,male,26-35,east,groceries,online,amazon,5,fast delivery and great packaging.,positive,40,yes,no
6335,male,36-45,west,beauty,online,amazon,5,"amazing experience, highly recommend!",positive,39,yes,no
6339,other,60+,east,books,online,amazon,4,fast delivery and great packaging.,positive,51,no,no
6344,other,18-25,south,electronics,online,amazon,5,great value for money.,positive,56,no,no
6350,other,18-25,north,sports,online,amazon,5,fast delivery and great packaging.,positive,41,yes,no
6369,male,26-35,north,beauty,online,amazon,3,works fine but could be better.,neutral,48,no,no
6371,other,36-45,east,home & kitchen,online,amazon,3,works fine but could be better.,neutral,39,yes,no
6373,other,60+,west,electronics,online,amazon,3,works fine but could be better.,neutral,18,yes,no
6389,male,46-60,east,beauty,online,amazon,4,very satisfied with the quality.,positive,56,no,no
6415,male,18-25,central,sports,online,amazon,2,product stopped working after few days.,negative,33,yes,yes
6417,male,36-45,south,fashion,online,amazon,1,product stopped working after few days.,negative,20,yes,yes
6474,other,26-35,west,fashion,online,amazon,3,neutral about the quality.,neutral,56,no,no
6519,male,46-60,north,groceries,online,amazon,3,works fine but could be better.,neutral,59,no,no
6576,female,26-35,east,fashion,online,amazon,2,customer service was unhelpful.,negative,20,yes,yes
6618,female,18-25,north,travel,online,amazon,3,neutral about the quality.,neutral,13,yes,no
6630,male,18-25,central,fashion,online,amazon,4,very satisfied with the quality.,positive,33,yes,no
6674,female,18-25,south,fashion,online,amazon,4,excellent product! exceeded expectations.,positive,16,yes,no
6705,other,18-25,south,sports,online,amazon,1,product stopped working after few days.,negative,35,yes,yes
6737,female,46-60,north,automobile,online,amazon,4,excellent product! exceeded expectations.,positive,22,yes,no
6830,male,60+,east,travel,online,amazon,2,late delivery and poor packaging.,negative,35,yes,yes
6918,male,26-35,central,home & kitchen,online,amazon,3,works fine but could be better.,neutral,2,yes,no
6938,male,18-25,south,sports,online,amazon,1,late delivery and poor packaging.,negative,64,no,yes
6940,other,46-60,north,electronics,online,amazon,4,fast delivery and great packaging.,positive,69,no,no
6950,female,36-45,south,home & kitchen,online,amazon,4,excellent product! exceeded expectations.,positive,69,no,no
6988,female,36-45,west,travel,online,amazon,3,works fine but could be better.,neutral,54,no,no
